# Ldrift xsizenorad xsizerad sigmabends MUdip MUdrift sigmab2a
1 0.00185836 0.0118918 4.18473682227e-16 1.56933468996e-16 1.53332863464e-16 1.56810937313e-16
2 0.00188639 0.0118904 4.18318402977e-16 1.56872533028e-16 1.50017281532e-16 1.56810937313e-16
3 0.00193188 0.0118966 4.18266650054e-16 1.56852219524e-16 1.46748326055e-16 1.56810937313e-16
4 0.00199365 0.0119068 4.18240774579e-16 1.56842062268e-16 1.43542085424e-16 1.56810937313e-16
5 0.00207025 0.0119204 4.18225249865e-16 1.56835967975e-16 1.40401778043e-16 1.56810937313e-16
6 0.00216008 0.011937 4.18214900123e-16 1.56831904931e-16 1.37328476815e-16 1.56810937313e-16
8 0.00237326 0.0119792 4.1820196342e-16 1.56826826272e-16 1.31384502261e-16 1.56810937313e-16
10 0.0026218 0.0120329 4.18194200941e-16 1.56823779059e-16 1.25711771256e-16 1.56810937313e-16
20 0.00414822 0.0124656 4.18178676559e-16 1.56817684543e-16 1.01428036539e-16 1.56810937313e-16
30 0.00586677 0.0131483 4.18173502161e-16 1.56815653119e-16 8.39500710274e-17 1.56810937313e-16
40 0.00764902 0.0140444 4.18170915723e-16 1.56814637021e-16 7.32794844109e-17 1.56810937313e-16
50 0.00945904 0.0151159 4.18169362207e-16 1.56814027787e-16 6.94165986347e-17 1.56810937313e-16
60 0.0112835 0.0163283 4.1816832743e-16 1.56813621351e-16 7.23615210144e-17 1.56810937313e-16
80 0.0149544 0.0190655 4.18167035312e-16 1.56813113282e-16 9.86749512171e-17 1.56810937313e-16
100 0.0186404 0.0220881 4.18166258702e-16 1.56812808718e-16 1.52219935994e-16 1.56810937313e-16
