# Ldrift xsizenorad xsizerad sigmabends MUdip MUdrift sigmab2a
1e-07 5.87828e-10 6.97406e-10 4.18190104741e-31 1.56833894248e-31 1.52528249216e-31 1.568109375e-31
2e-07 5.87828e-10 2.12135e-09 1.33419894881e-29 5.03505947654e-30 4.86899133864e-30 5.01795e-30
3e-07 5.87828e-10 5.72878e-09 1.01610413313e-28 3.81251624585e-29 3.69931055984e-29 3.81050578125e-29
4e-07 5.87828e-10 1.17068e-08 4.28067664697e-28 1.60611493985e-28 1.55838598457e-28 1.605744e-28
5e-07 5.87828e-10 2.03316e-08 1.3065981115e-27 4.90164500388e-28 4.75687196998e-28 4.90034179687e-28
6e-07 5.87828e-10 3.20095e-08 3.25088299444e-27 1.21973101375e-27 1.18348100001e-27 1.21936185e-27
8e-07 5.87828e-10 6.60724e-08 1.37019326243e-26 5.13858120759e-27 4.98827033554e-27 5.1383808e-27
1e-06 5.87828e-10 1.15122e-07 4.18145294463e-26 1.56828507365e-26 1.52218397318e-26 1.568109375e-26
2e-06 5.87828e-10 6.57189e-07 1.33810741361e-24 5.0180084292e-25 4.87114464842e-25 5.01795e-25
3e-06 5.87828e-10 1.80998e-06 1.01613163731e-23 3.81056633866e-24 3.69900624177e-24 3.81050578125e-24
4e-06 5.87828e-10 3.76963e-06 4.28198709039e-23 1.6057540575e-23 1.55876170346e-23 1.605744e-23
5e-06 5.87828e-10 6.5912e-06 1.30675409734e-22 4.90039017117e-23 4.7569541957e-23 4.90034179686e-23
6e-06 5.87828e-10 1.03856e-05 3.25163906646e-22 1.21936893252e-22 1.18368482018e-22 1.21936184999e-22
8e-06 5.87828e-10 2.09757e-05 1.37023719031e-21 5.13840212607e-22 4.98803325447e-22 5.13838079996e-22
1e-05 5.87828e-10 3.64758e-05 4.18163058284e-21 1.5681166474e-21 1.52222608073e-21 1.56810937498e-21
2e-05 5.87828e-10 0.000206018 1.33812242313e-19 5.01797227237e-20 4.87112138033e-20 5.01794999976e-20
3e-05 5.87828e-10 0.000570101 1.01613713892e-18 3.81052446705e-19 3.69900448623e-19 3.81050578084e-19
4e-05 5.87828e-10 0.00116589 4.28199573743e-18 1.60575268035e-18 1.55875547162e-18 1.60574399969e-18
5e-05 5.87828e-10 0.00203659 1.3067622726e-17 4.9003720844e-18 4.75693662512e-18 4.90034179542e-18
6e-05 5.87828e-10 0.00321583 3.25164538421e-17 1.21937035517e-17 1.18367572825e-17 1.21936184948e-17
7e-05 5.87828e-10 0.00472309 7.02809371614e-17 2.63554244003e-17 2.55838372103e-17 2.63552142503e-17
8e-05 5.87828e-10 0.00657065 1.37024352626e-16 5.13842776521e-17 4.98797485602e-17 5.13838079609e-17
9e-05 5.87828e-10 0.00882164 2.46922645696e-16 9.25962591259e-17 8.98846546099e-17 9.25952903951e-17
0.0001 5.87828e-10 0.0114897 4.18166258702e-16 1.56812808718e-16 1.52219935994e-16 1.56810937313e-16
0.0002 5.87828e-10 0.0650903 1.33816181596e-14 5.01812691503e-15 4.87077736781e-15 5.01794997611e-15
0.0003 5.87828e-10 0.179139 1.0162043456e-13 3.81078819111e-14 3.69841677755e-14 3.81050574042e-14
0.0004 5.87828e-10 0.367421 4.28249924195e-13 1.60595036794e-13 1.55831524577e-13 1.60574396941e-13
0.0005 5.87828e-10 0.643089 1.30700235679e-12 4.90131433867e-13 4.7548375032e-13 4.90034165103e-13
0.0006 5.87828e-10 1.01386 3.25250564294e-12 1.21970808725e-12 1.18292364455e-12 1.21936179774e-12
0.0007 5.87828e-10 1.48904 7.03062457485e-12 2.63653604191e-12 2.5561713952e-12 2.63552127282e-12
0.0008 5.87828e-10 2.07989 1.3708880381e-11 5.14095791925e-12 4.98234183303e-12 5.1383804085e-12
0.001 5.87828e-10 3.63446 4.18473601195e-11 1.56933451507e-11 1.519514071e-11 1.56810918832e-11
0.002 5.87828e-10 20.5419 1.34209810054e-09 5.0335633906e-10 4.83648653909e-10 5.0179476105e-10
0.004 5.87828e-10 116.238 4.332999308e-08 1.62567978729e-08 1.51483452964e-08 1.60574094144e-08
0.005 5.87828e-10 202.903 1.33112404225e-07 4.99528549956e-08 4.54896453784e-08 4.90032721255e-08
